filename1,filename1_raw,recog_background,background_file,recog_object,recog_object_raw,new_object,new_background,counterbalancing,adhoc_filenames,scene_final_raw,scene_final,new_item,scene_final_link,recog_object_link,recog_background_link,new_item_link
bleachers1_cheerleader1.png,bleachers1_cheerleader1.pict,bleachers1.png,bleachers1.pict,cheerleader1.png,cheerleader1.pict,sad1.pict,churchexterior1.pict,A,bleachers1_happy1.pict,bleachers1_happy1.pict,bleachers1_happy1.png,sad1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/bleachers1_happy1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/cheerleader1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/bleachers1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/sad1.png"" style=""width: 450px; height: 600px;"">"
building1_helicopter1.png,building1_helicopter1.pict,building1.png,building1.pict,helicopter1.png,helicopter1.pict,explode1.pict,flag.pict,A,building1_neu1.pict,building1_neu1.pict,building1_neu1.png,explode1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/building1_neu1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/helicopter1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/building1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/explode1.png"" style=""width: 450px; height: 600px;"">"
cornfield1_windmill1.png,cornfield1_windmill1.pict,cornfield1.png,cornfield1.pict,windmill1.png,windmill1.pict,tornado1.pict,escalator1.pict,A,NA,cornfield1_windmill1.pict,cornfield1_windmill1.png,tornado1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/cornfield1_windmill1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/windmill1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/cornfield1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/tornado1.png"" style=""width: 450px; height: 600px;"">"
fcrowd1_towels1.png,fcrowd1_towels1.pict,fcrowd1.png,fcrowd1.pict,towels1.png,towels1.pict,murder1.pict,pizza1.pict,A,fcrowd1_neu1.pict,fcrowd1_neu1.pict,fcrowd1_neu1.png,murder1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/fcrowd1_neu1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/towels1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/fcrowd1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/murder1.png"" style=""width: 450px; height: 600px;"">"
ground1_barrel1.png,ground1_barrel1.pict,ground1.png,ground1.pict,barrel1.png,barrel1.pict,starve1.pict,tiretread.pict,A,ground1neut1.pict,ground1neut1.pict,ground1neut1.png,starve1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/ground1neut1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/barrel1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/ground1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/starve1.png"" style=""width: 450px; height: 600px;"">"
jungle1_monkey1.png,jungle1_monkey1.pict,jungle1.png,jungle1.pict,monkey1.png,monkey1.pict,tiger1.pict,na,A,NA,jungle1_monkey1.pict,jungle1_monkey1.png,tiger1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/jungle1_monkey1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/monkey1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/jungle1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/tiger1.png"" style=""width: 450px; height: 600px;"">"
racetrack1_bikerace1.png,racetrack1_bikerace1.pict,racetrack1.png,racetrack1.pict,bikerace1.png,bikerace1.pict,firebike1.pict,na,A,racetrack1_bike1.pict,racetrack1_bike1.pict,racetrack1_bike1.png,firebike1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/racetrack1_bike1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/bikerace1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/racetrack1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/firebike1.png"" style=""width: 450px; height: 600px;"">"
swamp1_lilypad1.png,swamp1_lilypad1.pict,swamp1.png,swamp1.pict,lilypad1.png,lilypad1.pict,na,na,A,NA,swamp1_lilypad1.pict,swamp1_lilypad1.png,punish1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/swamp1_lilypad1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/lilypad1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/swamp1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/punish1.png"" style=""width: 450px; height: 600px;"">"
childblackboard1_math2.png,childblackboard1_math2.pict,childblackboard1.png,childblackboard1.pict,math1.png,math1.pict,punish1.pict,pollen1.pict,B,child1_neu2.pict,child1_neu2.pict,child1_neu2.png,fire1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/child1_neu2.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/math1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/childblackboard1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/fire1.png"" style=""width: 450px; height: 600px;"">"
citystreet1_crossing2.png,citystreet1_crossing2.pict,citystreet1.png,citystreet1.pict,crossing1.png,crossing1.pict,fire1.pict,hay1.pict,B,NA,citystreet1_crossing2.pict,citystreet1_crossing2.png,shark1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/citystreet1_crossing2.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/crossing1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/citystreet1.png"" style=""width: 450px; height: 600px;"">","<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/shark1.png"" style=""width: 450px; height: 600px;"">"
